memo,active.all.allocated,active.all.current,active.all.freed,active.all.peak,active.large_pool.allocated,active.large_pool.current,active.large_pool.freed,active.large_pool.peak,active.small_pool.allocated,active.small_pool.current,active.small_pool.freed,active.small_pool.peak,active_bytes.all.allocated,active_bytes.all.current,active_bytes.all.freed,active_bytes.all.peak,active_bytes.large_pool.allocated,active_bytes.large_pool.current,active_bytes.large_pool.freed,active_bytes.large_pool.peak,active_bytes.small_pool.allocated,active_bytes.small_pool.current,active_bytes.small_pool.freed,active_bytes.small_pool.peak,allocated_bytes.all.allocated,allocated_bytes.all.current,allocated_bytes.all.freed,allocated_bytes.all.peak,allocated_bytes.large_pool.allocated,allocated_bytes.large_pool.current,allocated_bytes.large_pool.freed,allocated_bytes.large_pool.peak,allocated_bytes.small_pool.allocated,allocated_bytes.small_pool.current,allocated_bytes.small_pool.freed,allocated_bytes.small_pool.peak,allocation.all.allocated,allocation.all.current,allocation.all.freed,allocation.all.peak,allocation.large_pool.allocated,allocation.large_pool.current,allocation.large_pool.freed,allocation.large_pool.peak,allocation.small_pool.allocated,allocation.small_pool.current,allocation.small_pool.freed,allocation.small_pool.peak,inactive_split.all.allocated,inactive_split.all.current,inactive_split.all.freed,inactive_split.all.peak,inactive_split.large_pool.allocated,inactive_split.large_pool.current,inactive_split.large_pool.freed,inactive_split.large_pool.peak,inactive_split.small_pool.allocated,inactive_split.small_pool.current,inactive_split.small_pool.freed,inactive_split.small_pool.peak,inactive_split_bytes.all.allocated,inactive_split_bytes.all.current,inactive_split_bytes.all.freed,inactive_split_bytes.all.peak,inactive_split_bytes.large_pool.allocated,inactive_split_bytes.large_pool.current,inactive_split_bytes.large_pool.freed,inactive_split_bytes.large_pool.peak,inactive_split_bytes.small_pool.allocated,inactive_split_bytes.small_pool.current,inactive_split_bytes.small_pool.freed,inactive_split_bytes.small_pool.peak,num_alloc_retries,num_ooms,reserved_bytes.all.allocated,reserved_bytes.all.current,reserved_bytes.all.freed,reserved_bytes.all.peak,reserved_bytes.large_pool.allocated,reserved_bytes.large_pool.current,reserved_bytes.large_pool.freed,reserved_bytes.large_pool.peak,reserved_bytes.small_pool.allocated,reserved_bytes.small_pool.current,reserved_bytes.small_pool.freed,reserved_bytes.small_pool.peak,segment.all.allocated,segment.all.current,segment.all.freed,segment.all.peak,segment.large_pool.allocated,segment.large_pool.current,segment.large_pool.freed,segment.large_pool.peak,segment.small_pool.allocated,segment.small_pool.current,segment.small_pool.freed,segment.small_pool.peak
018:After-Forward,20390,638,19752,716,5601,168,5433,181,14789,470,14319,538,208149212160,3935639040,204213573120,5643755008,206187810304,3868418048,202319392256,5574466560,1961401856,67220992,1894180864,86512128,208149212160,3935639040,204213573120,5643755008,206187810304,3868418048,202319392256,5574466560,1961401856,67220992,1894180864,86512128,20390,638,19752,716,5601,168,5433,181,14789,470,14319,538,9148,67,9081,77,2738,30,2708,40,6410,37,6373,42,146163044352,1516956160,144646088192,2053939200,144043437056,1508679680,142534757376,2046509056,2119607296,8276480,2111330816,10745856,0,0,8778678272,8778678272,0,8778678272,8688500736,8688500736,0,8688500736,90177536,90177536,0,90177536,90,90,0,90,47,47,0,47,43,43,0,43
019:Before-Forward,21022,488,20534,716,5950,93,5857,181,15072,395,14677,538,224559089664,555830784,224003258880,5643755008,222543095808,494063616,222049032192,5574466560,2015993856,61767168,1954226688,86512128,224559089664,555830784,224003258880,5643755008,222543095808,494063616,222049032192,5574466560,2015993856,61767168,1954226688,86512128,21022,488,20534,716,5950,93,5857,181,15072,395,14677,538,9553,43,9510,78,2967,16,2951,45,6586,27,6559,42,156973611008,448705024,156524905984,2053939200,154798052864,443363328,154354689536,2046509056,2175558144,5341696,2170216448,10745856,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
020:After-Forward,22976,637,22339,716,6336,168,6168,182,16640,469,16171,538,234241053696,2811871232,231429182464,5643755008,232079358976,2746376192,229332982784,5574466560,2161694720,65495040,2096199680,86512128,234241053696,2811871232,231429182464,5643755008,232079358976,2746376192,229332982784,5574466560,2161694720,65495040,2096199680,86512128,22976,637,22339,716,6336,168,6168,182,16640,469,16171,538,10469,65,10404,78,3201,30,3171,45,7268,35,7233,42,161781106688,1132871680,160648235008,2053939200,159433169408,1124966400,158308203008,2046509056,2347937280,7905280,2340032000,10745856,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
021:Before-Forward,23606,488,23118,716,6687,93,6594,182,16919,395,16524,538,245556761600,555830784,245000930816,5643755008,243344247808,494063616,242850184192,5574466560,2212513792,61767168,2150746624,86512128,245556761600,555830784,245000930816,5643755008,243344247808,494063616,242850184192,5574466560,2212513792,61767168,2150746624,86512128,23606,488,23118,716,6687,93,6594,182,16919,395,16524,538,10879,43,10836,78,3450,16,3434,45,7429,27,7402,42,170287001088,448705024,169838296064,2053939200,167886531072,443363328,167443167744,2046509056,2400470016,5341696,2395128320,10745856,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
022:After-Forward,25552,637,24915,716,7077,168,6909,182,18475,469,18006,538,258634338304,3610328576,255024009728,5643755008,256229638144,3543512064,252686126080,5574466560,2404700160,66816512,2337883648,86512128,258634338304,3610328576,255024009728,5643755008,256229638144,3543512064,252686126080,5574466560,2404700160,66816512,2337883648,86512128,25552,637,24915,716,7077,168,6909,182,18475,469,18006,538,11655,63,11592,78,3586,27,3559,45,8069,36,8033,42,179654550016,1022280192,178632269824,2053939200,177048018432,1013599232,176034419200,2046509056,2606531584,8680960,2597850624,10745856,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
023:Before-Forward,26182,488,25694,716,7428,93,7335,182,18754,395,18359,538,273641248768,555830784,273085417984,5643755008,271184122880,494063616,270690059264,5574466560,2457125888,61767168,2395358720,86512128,273641248768,555830784,273085417984,5643755008,271184122880,494063616,270690059264,5574466560,2457125888,61767168,2395358720,86512128,26182,488,25694,716,7428,93,7335,182,18754,395,18359,538,12004,43,11961,78,3771,16,3755,45,8233,27,8206,42,192214162944,450802176,191763360768,2053939200,189552956928,443363328,189109593600,2046509056,2661206016,7438848,2653767168,10745856,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
024:After-Forward,28128,637,27491,716,7800,168,7632,182,20328,469,19859,539,286285656576,3555751424,282729905152,5643755008,283628067840,3489071104,280138996736,5574466560,2657588736,66680320,2590908416,86512128,286285656576,3555751424,282729905152,5643755008,283628067840,3489071104,280138996736,5574466560,2657588736,66680320,2590908416,86512128,28128,637,27491,716,7800,168,7632,182,20328,469,19859,539,12847,58,12789,78,3934,24,3910,45,8913,34,8879,42,201207358464,670009856,200537348608,2053939200,198330414592,659095552,197671319040,2046509056,2876943872,10914304,2866029568,10914304,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
025:Before-Forward,28757,488,28269,716,8149,93,8056,182,20608,395,20213,539,300949484544,555830784,300393653760,5643755008,298239510528,494063616,297745446912,5574466560,2709974016,61767168,2648206848,86512128,300949484544,555830784,300393653760,5643755008,298239510528,494063616,297745446912,5574466560,2709974016,61767168,2648206848,86512128,28757,488,28269,716,8149,93,8056,182,20608,395,20213,539,13201,44,13157,78,4116,16,4100,45,9085,28,9057,42,213260319232,450802176,212809517056,2053939200,210327900672,443363328,209884537344,2046509056,2932418560,7438848,2924979712,11098624,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
026:After-Forward,30703,637,30066,716,8525,168,8357,182,22178,469,21709,539,314393510400,3769928192,310623582208,5643755008,311472299520,3702849536,307769449984,5574466560,2921210880,67078656,2854132224,86512128,314393510400,3769928192,310623582208,5643755008,311472299520,3702849536,307769449984,5574466560,2921210880,67078656,2854132224,86512128,30703,637,30066,716,8525,168,8357,182,22178,469,21709,539,13990,69,13921,78,4263,30,4233,45,9727,39,9688,42,222760730624,843806208,221916924416,2053939200,219607166976,835387392,218771779584,2046509056,3153563648,8418816,3145144832,11422208,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
027:Before-Forward,31333,488,30845,716,8876,93,8783,182,22457,395,22062,539,330129179648,555830784,329573348864,5643755008,327154670080,494063616,326660606464,5574466560,2974509568,61767168,2912742400,86512128,330129179648,555830784,329573348864,5643755008,327154670080,494063616,326660606464,5574466560,2974509568,61767168,2912742400,86512128,31333,488,30845,716,8876,93,8783,182,22457,395,22062,539,14329,42,14287,78,4436,16,4420,45,9893,26,9867,42,234550424064,448705024,234101719040,2053939200,231342218240,443363328,230898854912,2046509056,3208205824,5341696,3202864128,11422208,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
